OWNER,DAY,ADDR,ADDR_DETAIL,LAT,LON,PERSONNEL,FIELD_NAME,Teaching field name,Teaching course list name,Teaching course name,Tuition
엠프로클리닉관학원,20201021,대구광역시 달서구 조암로 32,/ 601호 (월성동),35.82522561,128.5262179,96,입시.검정 및 보습,보통교과,보습/,보습,
엠프로프리미엄영어학원,20220308,대구광역시 달서구 조암로6길 6-45,/ 6층 일부 (월성동),35.82648992,128.5289243,152,입시.검정 및 보습,보통교과,보습/,보습,
엠플러스수학교습소,20170714,대구광역시 달서구 용산로 253,/ 207동 107호 (용산동/ 용산현대우방아파트),35.85969832,128.5293567,23,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):170000/ 수학(초등):170000/ 수학(중등):210000
엠플수학학원,20200401,대구광역시 달서구 상화로58길 101,/ 3층 (도원동),35.80649257,128.5495147,35,입시.검정 및 보습,보통교과,보습/,보습,
엠피수학학원,20100908,대구광역시 북구 대천로 90,2층 (동천동),35.93671133,128.5589372,18,입시.검정 및 보습,보통교과,보습/,보습,
엠피티수학교습소,20191217,대구광역시 달성군 다사읍 대실역남로 50,/ 상가 202호 203호 (다사읍/ 죽곡 한신 휴플러스),35.8523947,128.4633649,24,입시.검정 및 보습,보통교과,,보습,
여기는관리형2독서실,20190501,대구광역시 중구 명륜로 40,/ 2~4층 (남산동),35.86294414,128.5895505,405,독서실,독서실,,독서실(유아/초·중·고),
여기는관리형독서실,20171114,대구광역시 중구 명륜로 10,/ 2~5층 (남산동),35.86543067,128.588056,487,독서실,독서실(중),,독서실(일반인),
여민락학원,20170731,대구광역시 달서구 월곡로 339,/ 4층 (상인동),35.82264752,128.5328002,30,입시.검정 및 보습,보통교과,보습/,보습,
여울미술학원,20091120,대구광역시 수성구 명덕로 455,/ 101동 205호 (수성동3가/ 수성3가롯데캐슬아파트),35.85666879,128.619703,45,예능(대),예능(중),미술/,미술,
여윤경수학교습소,20171018,대구광역시 달성군 다사읍 죽곡2길 6,/ 강창태성그린시티 111동 302호 (다사읍/ 강창태성그린시티),35.85653028,128.4615577,36,입시.검정 및 보습,보통교과,,보습,
여윤주영어교습소,20170620,대구광역시 수성구 달구벌대로504길 47,/ 2층 일부 (범어동),35.85443315,128.6386719,18,입시.검정 및 보습,보통교과,중등,보습,중등:300000/ 고등:350000
연경채움수학교습소,20210702,대구광역시 북구 연경지묘로 8,/ 301호 (연경동),35.94277504,128.6150006,63,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:180000/ 중등수학:210000/ 중등수학:250000/ 중등수학:280000/ 초등수학:130000/ 초등수학:150000/ 초등수학:200000
연경컨피던스센터공터영어학원,20220308,대구광역시 북구 연경중앙로 3,/ 301호 (연경동/ 대성플라자),35.94299269,128.6179639,45,입시.검정 및 보습,보통교과,,보습,
연세간호학원,20060117,대구광역시 달서구 달구벌대로 1692,/ 5층/ 8층 일부 (두류동),35.8550553,128.5511124,40,직업기술,간호보조기술,간호조무사/,간호조무사,
연세수학교습소,20141013,대구광역시 남구 효성로 36,/ 1층 일부 (봉덕동),35.83659135,128.5994526,14,입시.검정 및 보습,보통교과,수학중등,보습,
연세수학교습소,20210817,대구광역시 북구 동천로 37,/ 2층 (동천동),35.9352018,128.5586677,84,입시.검정 및 보습,보통교과,,보습,
연세스카이(SKY)수학학원,20170518,대구광역시 달성군 유가면 테크노상업로 110,/ 502호 (유가면),35.69323473,128.4615554,112,입시.검정 및 보습,보통교과,보습/,보습,
연세영어교습소,20201120,대구광역시 수성구 범어천로 81-1,/ 2층 (범어동),35.85421093,128.6229132,27,입시.검정 및 보습,보통교과,,보습,
연세영어수학학원,20210607,대구광역시 수성구 알파시티2로 28,/ 4층 (시지동),35.83968254,128.6922302,180,입시.검정 및 보습,보통교과,,보습,
연세위드수학학원,20110207,대구광역시 북구 호암로 6,4층 (칠성동2가),35.88294191,128.5911149,24,입시.검정 및 보습,보통교과,보습/,보습,
연세이엠에스(EMS)학원,20110113,대구광역시 북구 침산로22길 5,한라스카이빌상가 109/301호 (침산동),35.88608612,128.5913608,90,입시.검정 및 보습,보통교과,,보습,
연세카이수학학원,20120102,대구광역시 달서구 조암남로 34,/ 4층 (월성동),35.82190871,128.5290655,150,입시.검정 및 보습,보통교과,보습/,보습,
연세카이영어학원,20170327,대구광역시 달서구 조암남로 34,/ 3층 (월성동),35.82190871,128.5290655,165,입시.검정 및 보습,보통교과,보습/,보습,
연세피아노시지스튜디오피아노교습소,20130311,대구광역시 수성구 달구벌대로637길 21,/ 상가3-13동 2층 4호 (매호동/누리타운),35.84338463,128.7070987,25,예능(대),예능(중),피아노초급,음악,피아노초급:130000/ 피아노중급:160000/ 피아노고급:200000/ 피아노콩쿨(고급):300000/ 피아노입시(고급):700000
연세필수학교습소,20200827,대구광역시 수성구 달구벌대로496길 10,/ 2층 (범어동),35.85780068,128.6339789,8,입시.검정 및 보습,보통교과,중등,보습,중등:250000/ 고등:350000
연세학원,20080515,대구광역시 북구 호국로43길 8-18,/ 5층 (서변동),35.92203403,128.5986622,144,입시.검정 및 보습,보통교과,,보습,
연쌤영·수학원,20190624,대구광역시 달서구 조암남로 52,/ 2층 일부 (월성동),35.82137666,128.5271823,90,입시.검정 및 보습,보통교과,,보습,
연암국어교습소,20201209,대구광역시 달서구 월서로3길 15,/ 231동 206호 일부 (상인동/ 상인역 e-편한세상 2단지),35.82025314,128.534454,24,입시.검정 및 보습,보통교과,,보습,
연암국어에스관학원,20220111,대구광역시 수성구 달구벌대로 3169,/ 7층 (매호동),35.84150001,128.7038105,140,입시.검정 및 보습,보통교과,,보습,
연암국어학원,20141126,대구광역시 수성구 달구벌대로650길 95,/ 3/4층 (욱수동),35.83022427,128.7081216,87,입시.검정 및 보습,보통교과,보습/,보습,
연암학원,20020604,대구광역시 달서구 서당로 47,/ 3층 (신당동),35.85603164,128.4954405,90,입시.검정 및 보습,보통교과,보습/,보습,
연제독서실,20151125,대구광역시 북구 침산로 164,/ 4층 (침산동),35.89085704,128.5905809,234,독서실,독서실,독서실(유아/초·중·고)/,독서실(유아/초·중·고),
연제효성음악미술학원,20060622,대구광역시 북구 복현로 105,복현태왕아너스 상가 501호 5층 (복현동),35.89922043,128.6202954,27,종합(대),,음악/미술/,,
열공열강영어수학학원,20211213,대구광역시 달서구 조암남로 70,/ 4층/ 6층 (월성동),35.82091243,128.5254838,200,입시.검정 및 보습,보통교과,보습/,보습,
열공푸르넷수학교습소,20131016,대구광역시 북구 동천로 6,/ 105동 204호 (동천동/칠곡화성타운),35.93175002,128.5592491,40,입시.검정 및 보습,보통교과,수학초등1,보습,수학초등1:50000/ 수학초등2:90000/ 수학초등3:125000/ 수학초등5:155000/ 수학중등1:160000/ 수학중등2:200000/ 수학중등3:240000/ 수학초등4:150000
열린그림터미술교습소,20080623,대구광역시 수성구 수성로25길 13 (),,35.83720781,128.6109438,27,예능(대),예능(중),초등,미술,초등:120000/ 초등:130000/ 중등:150000
열린수학교습소,20110127,대구광역시 달서구 월배로68길 64,/ 2층 (송현동),35.8237331,128.5499587,27,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):150000/ 수학(중등):230000/ 수학(고등):320000
열린수학교습소,20100325,대구광역시 동구 해동로7길 31,  1층 (지저동),35.89382542,128.6391848,10,입시.검정 및 보습,보통교과,중등,보습,중등:240000/ 고등:290000
열린수학교습소,20140609,대구광역시 북구 학정동로 7,/ 상가동 205호 (국우동/부영아파트),35.95686705,128.5721814,27,입시.검정 및 보습,보통교과,수학(초),보습,수학(초):140000/ 수학(중):190000/ 수학(고):260000
열린수학교습소,20050406,대구광역시 수성구 상화로7길 48,/ 1층 일부 (상동),35.83689618,128.6109107,24,입시.검정 및 보습,보통교과,초등,보습,초등:170000/ 중등:220000/ 고등:300000
열린수학학원,20100723,대구광역시 수성구 화랑로12길 25,  2층 (만촌동),35.8714361,128.635385,21,입시.검정 및 보습,보통교과,보습/,보습,
